Family	!	Scientific Name	Author	Reference	Date
"Poaceae"	""	"Rhipidocladum pittieri"	"(Hack.) McClure"	"Smithsonian Contr. Bot. 9: 105"	"1973"
"Poaceae"	""	"Rhipidocladum racemiflorum"	"(Steud.) McClure"	"Smithsonian Contr. Bot. 9: 106"	"1973"
"Rhizophoraceae"	"!"	"Rhizophora mangle"	"L."	"Sp. Pl. 1: 443"	"1753"
"Rhizophoraceae"	"!"	"Rhizophora racemosa"	"G. Mey."	"Prim. Fl. Esseq. 185"	"1818"
"Apiaceae"	""	"Rhodosciadium"	"S. Watson"	"Proc. Amer. Acad. Arts 25: 151"	"1889"
"Anacardiaceae"	""	"Rhus terebinthifolia"	"Schltdl. & Cham."	"Linnaea 5: 600–601"	"1830"
"Fabaceae"	"!!"	"Rhynchosia"	"Lour."	"Fl. Cochinch. 2: 425 [as Phynchosia], 460"	"1790"
"Fabaceae"	"!"	"Rhynchosia amabilis"	"Grear"	"Mem. New York Bot. Gard. 31(1): 56–58, f. 14"	"1978"
"Fabaceae"	"!"	"Rhynchosia discolor"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 10(2): 199"	"1843"
"Fabaceae"	"!"	"Rhynchosia edulis"	"Griseb."	"Abh. Königl. Ges. Wiss. Göttingen 19: 123–124"	"1874"
"Fabaceae"	""	"Rhynchosia longeracemosa"	"M. Martens & Galeotti"	"Bull. Acad. Roy. Sci. Bruxelles 10(2): 198–199"	"1843"
"Fabaceae"	"!"	"Rhynchosia macrocarpa"	"Benth."	"Pl. Hartw. 11"	"1839"
"Fabaceae"	"!"	"Rhynchosia minima"	"(L.) DC."	"Prodr. 2: 385"	"1825"
"Fabaceae"	"!"	"Rhynchosia phaseoloides"	"(Sw.) DC."	"Prodr. 2: 385"	"1825"
"Fabaceae"	"!"	"Rhynchosia pyramidalis"	"(Lam.) Urb."	"Repert. Spec. Nov. Regni Veg. 15: 318"	"1918"
"Fabaceae"	"!"	"Rhynchosia reticulata"	"(Sw.) DC."	"Prodr. 2: 385"	"1825"
"Cyperaceae"	"!!"	"Rhynchospora"	"Vahl"	"Enum. Pl. 2: 229"	"1805"
"Cyperaceae"	""	"Rhynchospora aristata"	"Boeckeler"	"Flora 40: 36"	"1857"
"Cyperaceae"	""	"Rhynchospora barbata"	"(Vahl) Kunth"	"Enum. Pl. 2: 290"	"1837"
"Cyperaceae"	""	"Rhynchospora contracta"	"(Nees) J. Raynal"	"Adansonia, n.s. 17: 277"	"1978"
