Family	!	Scientific Name	Author	Reference	Date
"Poaceae"	""	"Agropyron pectiniforme"	"Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 2: 758"	"1817"
"Poaceae"	""	"Agropyron psammophilum"	"J.M. Gillett & H. Senn"	"Canad. J. Bot. 39: 1170"	"1961"
"Poaceae"	""	"Agropyron pseudorepens nothovar. sennii"	"B. Boivin"	"Naturaliste Canad. 94(4): 520"	"1967"
"Poaceae"	"!"	"Agropyron pungens"	"(Pers.) Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 2: 753"	"1817"
"Poaceae"	""	"Agropyron pungens var. acadiense"	"(F.T. Hubb.) Fernald"	"Rhodora 23(274): 232"	"1921 [1922]"
"Poaceae"	""	"Agropyron pungens var. pungens"	""	""	""
"Poaceae"	""	"Agropyron repens"	"(L.) P. Beauv."	"Ess. Agrostogr. 102, 146, 180, pl. 20, f. 2"	"1812"
"Poaceae"	""	"Agropyron repens fo. heberhachis"	"Fernald"	"Rhodora 35(413): 184"	"1933"
"Poaceae"	""	"Agropyron repens fo. pilosum"	"(Scribn.) Fernald"	"Rhodora 35(413): 184"	"1933"
"Poaceae"	""	"Agropyron repens fo. repens"	""	""	""
"Poaceae"	""	"Agropyron repens var. repens"	""	""	""
"Poaceae"	""	"Agropyron repens fo. setiferum"	"Fernald"	"Rhodora 35(413): 184"	"1933"
"Poaceae"	"!"	"Agropyron repens var. subulatum"	"Roem. & Schult."	"Syst. Veg. (ed. 15 bis) 2: 754"	"1817"
"Poaceae"	""	"Agropyron repens fo. trichorrhachis"	"Rohlena"	"Contr. Arctic Inst. 9F: 46"	"1958"
"Poaceae"	"!"	"Agropyron scribneri"	"Vasey"	"Bull. Torrey Bot. Club 10(12): 128, f. s.n."	"1883"
"Poaceae"	""	"Agropyron sericeum"	"Hitchc."	"Amer. J. Bot. 2: 309"	"1915"
"Poaceae"	""	"Agropyron smithii"	"Rydb."	"Mem. New York Bot. Gard. 1: 64"	"1900"
"Poaceae"	"!"	"Agropyron spicatum"	"(Pursh) Scribn. & J.G. Sm."	"Bull. Div. Agrostol., U.S.D.A. 4: 33"	"1897"
"Poaceae"	""	"Agropyron subsecundum"	"(Link) Hitchc."	"Amer. J. Bot. 21(3): 131"	"1934"
"Poaceae"	""	"Agropyron teslinense"	"A.E. Porsild & Senn"	"Bull. Natl. Mus. Canada 121: 98"	"1951"
"Poaceae"	"!"	"Agropyron trachycaulum"	"(Link) Malte ex H.F. Lewis"	"Canad. Field-Naturalist 45: 201"	"1931"
"Poaceae"	""	"Agropyron trachycaulum var. caerulescens"	"Malte"	"Bull. Natl. Mus. Canada 68: 47"	"1932"
"Poaceae"	"**"	"Agropyron trachycaulum var. ciliatum"	"(Scribn. & J.G. Sm.) Gleason"	"Phytologia 4(1): 21"	"1952"
"Poaceae"	""	"Agropyron trachycaulum var. glaucescens"	"Malte"	"Bull. Natl. Mus. Canada 68: 45"	"1932"
"Poaceae"	""	"Agropyron trachycaulum var. glaucum"	"(Pease & A.H. Moore) Malte"	"Bull. Natl. Mus. Canada 68: 47"	"1932"
"Poaceae"	""	"Agropyron trachycaulum var. hirsutum"	"Malte"	"Bull. Natl. Mus. Canada 68: 48"	"1932"
"Poaceae"	""	"Agropyron trachycaulum var. majus"	"(Vasey) Fernald"	"Rhodora 35(413): 171"	"1933"
"Poaceae"	""	"Agropyron trachycaulum var. novae-angliae"	"(Scribn.) Fernald"	"Rhodora 35(413): 174"	"1933"
"Poaceae"	""	"Agropyron trachycaulum var. pilosiglume"	"Malte"	"Bull. Natl. Mus. Canada 68: 48"	"1932"
"Poaceae"	""	"Agropyron trachycaulum var. trachycaulum"	""	""	""
"Poaceae"	"*"	"Agropyron trachycaulum var. unilaterale"	"(Vasey) Malte"	"Bull. Natl. Mus. Canada 68: 46"	"1932"
"Poaceae"	""	"Agropyron × ungavense"	"Louis-Marie"	"Contr. Inst. Oka 3: 18"	"1946"
"Poaceae"	"*"	"Agropyron ungavense"	"Louis-Marie"	"Rev. Oka Agron. Inst. Agric. 20: 145–160"	"1946"
"Poaceae"	""	"Agropyron × ungavense fo. ramosum"	"Louis-Marie"	"Rev. Oka Agron. Inst. Agric. 20: 158, f. 5, no. 2"	"1946"
"Poaceae"	""	"Agropyron violaceum var. hyperarcticum"	"Polunin"	"Bull. Natl. Mus. Canada 92: 95, pl. 4"	"1940"
"Caryophyllaceae"	""	"Agrostemma githago"	"L."	"Sp. Pl. 1: 435"	"1753"
"Poaceae"	"!!"	"Agrostis"	"L."	"Sp. Pl. 1: 61"	"1753"
"Poaceae"	""	"Agrostis aequivalvis"	"(Trin.) Trin."	"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat. 6,4(3–4): 362"	"1841"
"Poaceae"	"!"	"Agrostis alaskana"	"Hultén"	"Fl. Aleut. Isl. 71"	"1937"
"Poaceae"	"!"	"Agrostis alba"	"L."	"Sp. Pl. 1: 63"	"1753"
"Poaceae"	""	"Agrostis alba fo. alba"	""	""	""
"Poaceae"	""	"Agrostis alba var. alba"	""	""	""
